group_strategy,heldout_groups,n_splits,mean_test_rmse,sd_test_rmse,mean_test_mae,mean_jaccard_to_M4
composition_family_group_shuffle,Cs_rich__Pb_rich__mixed_halide;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__I_rich,1,0.0680412226704209,,0.0488839134646831,0.625
composition_family_group_shuffle,Cs_rich__Sn_rich__Cl_containing;Cs_rich__Sn_rich__I_rich;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,1,0.0754019634687709,,0.0599090859196818,0.875
composition_family_group_shuffle,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Sn_rich__I_rich,1,0.0463504219851532,,0.0348883026145618,1.0
composition_family_group_shuffle,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;MA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,1,0.113657745308098,,0.0783899349755435,0.875
composition_family_group_shuffle,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide,1,0.0874695528373356,,0.0772204337524423,0.875
composition_family_group_shuffle,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__mixed_halide,1,0.0590698497453712,,0.0481039162828408,1.0
composition_family_group_shuffle,Cs_rich__Sn_rich__mixed_halide;FA_rich__Sn_rich__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__Cl_containing,1,0.0745154567794851,,0.0646369641526933,1.0
composition_family_group_shuffle,Cs_rich__mixed_B__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Cl_containing;MA_rich__Sn_rich__I_rich,1,0.0646981717293205,,0.0504091743141865,0.4444444444444444
composition_family_group_shuffle,FA_rich__Sn_rich__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__Br_rich,1,0.0646539832749548,,0.0502028650058349,0.8888888888888888
composition_family_group_shuffle,FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__I_rich;mixed_A__Pb_rich__I_rich,1,0.0692944565666183,,0.0580476048724027,0.8
halide_logo,Br_rich,1,0.0725938643823363,,0.0566294440932272,0.875
halide_logo,Cl_containing,1,0.8894008329518155,,0.7278525184582298,0.75
halide_logo,I_rich,1,0.0661959092598769,,0.0505696086466339,0.875
halide_logo,mixed_halide,1,0.0556389477870242,,0.0450289626097739,1.0
a_site_logo,Cs_rich,1,0.1738221549247762,,0.1415444046808344,0.625
a_site_logo,FA_rich,1,0.0569140750451181,,0.0438377425270109,1.0
a_site_logo,MA_rich,1,0.085013438564115,,0.0610220370851305,0.7777777777777778
a_site_logo,mixed_A,1,0.0261225956779645,,0.0200983006086528,1.0
