run_id,structure_id,source,reasoning_effort,non_constant_term_count,m4_term_count_valid,canonical_structure,raw_output
16,S1,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Cs^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Cs² + β₉Sn·Br + β₁₀Sn·Cl + β₁₁Cs·Br
17,S3,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl,y = β0 + β1Sn + β2Br + β3Cl + β4Cs + β5Sn² + β6Br² + β7Cl² + β8Sn·Br + β9Sn·Cl + β10Cs·Br + β11Cs·Cl
18,S3,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br) + β₁₁(Cs·Cl)
19,S1,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Cs^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Cs² + β₉Sn·Br + β₁₀Sn·Cl + β₁₁Cs·Br
20,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br)
21,S1,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Cs^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Cs² + β₉Sn·Br + β₁₀Sn·Cl + β₁₁Cs·Br
22,S6,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cs² + β₈Sn·Br + β₉Sn·Cl + β₁₀Cs·Br + β₁₁Cs·Cl
23,S1,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Cs^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Cs² + β₉Sn·Br + β₁₀Sn·Cl + β₁₁Cs·Br
24,S3,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br) + β₁₁(Cs·Cl)
25,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br)
26,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br)
27,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Sn·Br + β₉Sn·Cl + β₁₀Cs·Br
28,S3,codex_exec,low,11,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Sn·Br + β₉Sn·Cl + β₁₀Cs·Br + β₁₁Cs·Cl
29,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈(Sn·Br) + β₉(Sn·Cl) + β₁₀(Cs·Br)
30,S2,codex_exec,low,10,True,Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br,y = β₀ + β₁Sn + β₂Br + β₃Cl + β₄Cs + β₅Sn² + β₆Br² + β₇Cl² + β₈Sn·Br + β₉Sn·Cl + β₁₀Cs·Br
